t,chi_hhi_star,lambda2,total_weight,load_cv
498.0,0.25470562118993956,-6.865233167274157e-16,60.51718851544997,1.2358354095991366
500.0,0.24503141373809806,-5.465414550073122e-16,60.32811492981509,1.2375045323444593
502.0,0.2328428510997789,-6.593262673673549e-16,59.77208978305679,1.2427488370872306
504.0,0.22568264270547803,-4.47761044758219e-16,59.23763665417876,1.2597343524365896
506.0,0.2199614413967919,-6.185304541552072e-16,59.13014687803846,1.2624321266044827
508.0,0.21692567393937692,-5.000520385530744e-16,57.89410358364837,1.2814416325103697
510.0,0.2167044184413543,-5.740863502574756e-16,57.63604876320425,1.2897166571038112
512.0,0.2166632705708961,-5.844967240500942e-16,57.60480625101616,1.2908223577087323
514.0,0.2164032972182216,-4.3680175208479736e-16,57.600649125649745,1.2909711752705642
516.0,0.2147525667833457,-6.848037553476261e-16,57.600087824409,1.2909912993178672
518.0,0.20946441501282115,-6.90464701025296e-16,57.60001188452516,1.2909940225109426
520.0,0.2064727073086842,-6.592391304838254e-16,57.6000016076556,1.2909943910492068
522.0,0.20623443839898217,-5.534276118185816e-16,57.600000216857865,1.2909944409251815
524.0,0.20603097736276266,-5.585966308185414e-16,57.60000002864179,1.290994447675089
526.0,0.20472405881129432,-5.249221306154364e-16,57.60000000317301,1.290994448588558
528.0,0.19978187415768633,-7.124471006566514e-16,57.59999999972776,1.2909944487121685
530.0,0.19561110131627016,-5.848121232779997e-16,57.599999999262195,1.2909944487288914
532.0,0.19259125807819744,-4.971016335247598e-16,57.59999999919951,1.2909944487311513
534.0,0.18703825485687936,-6.239928638970622e-16,57.59999999919117,1.290994448731456
536.0,0.18544417636126767,-6.211318033455639e-16,57.5999999991901,1.2909944487314966
538.0,0.1853745475564999,-5.334172817431067e-16,57.59999999918998,1.2909944487315022
540.0,0.1853730649066635,-5.489196492453794e-16,57.59999999918998,1.2909944487315026
542.0,0.1853730371677819,-5.472158232537816e-16,57.59999999918999,1.2909944487315024
544.0,0.18537303665825483,-6.965969870914732e-16,57.59999999918999,1.2909944487315024
546.0,0.1853730366489189,-8.434320037635075e-16,57.59999999918999,1.2909944487315026
548.0,0.18537303664874788,-8.54924391134591e-16,57.59999999918999,1.2909944487315024
550.0,0.18537303664874477,-5.98143466188834e-16,57.59999999919,1.2909944487315024
552.0,0.18537303664874472,-9.52627188521416e-16,57.59999999919,1.2909944487315026
554.0,0.18537303664874472,-8.139934237296864e-16,57.59999999918999,1.2909944487315024
556.0,0.18537303664874472,-7.700344294757885e-16,57.59999999918999,1.2909944487315026
558.0,0.18537303664874472,-6.143795462759414e-16,57.59999999919,1.2909944487315028
560.0,0.18537303664874472,-6.060096144820164e-16,57.599999999190004,1.2909944487315026
562.0,0.18537303664874472,-5.748911349607887e-16,57.59999999919,1.2909944487315024
564.0,0.18537303664874472,-8.942439720300178e-16,57.59999999918999,1.2909944487315026
566.0,0.18537303664874472,-1.0175753116962605e-15,57.59999999918999,1.2909944487315024
568.0,0.18537303664874472,-4.953492717530761e-16,57.59999999918999,1.2909944487315024
570.0,0.18537303664874472,-6.855392290727474e-16,57.59999999918999,1.2909944487315026
572.0,0.18537303664874472,-8.698706522558285e-16,57.599999999190004,1.2909944487315026
574.0,0.18537303664874472,-6.319084932087138e-16,57.59999999919,1.2909944487315024
576.0,0.18537303664874472,-6.989021547070352e-16,57.59999999919,1.2909944487315026
578.0,0.18537303664874472,-6.993825347283069e-16,57.59999999919,1.2909944487315024
580.0,0.18537303664874472,-7.297259945068619e-16,57.59999999918999,1.2909944487315026
582.0,0.18537303664874472,-6.896090050831615e-16,57.59999999919,1.2909944487315028
