protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.74,256,105,0.003,etaabs_3em03,0.003,absolute_a1p74_N256_seed105_etaabs_3em03,600.0,0.2078309547238371,0.7932991053433616,34.0,True,12.5,False,True,14.5,False
relative,1.8,64,101,0.05,etarel_c0p05,0.0006349206349206349,relative_a1p80_N64_seed101_etarel_c0p05,600.0,0.1743951612898463,0.7671654404361371,106.5,True,82.0,False,True,89.0,False
relative,1.8,64,101,0.1,etarel_c0p10,0.0012698412698412698,relative_a1p80_N64_seed101_etarel_c0p10,600.0,0.1267641129028686,0.857098491159602,68.0,True,44.5,False,True,47.5,False
relative,1.8,64,101,0.2,etarel_c0p20,0.0025396825396825397,relative_a1p80_N64_seed101_etarel_c0p20,600.0,0.1267641129028686,0.807880397832125,53.5,True,24.0,False,True,26.0,False
relative,1.8,64,101,0.5,etarel_c0p50,0.006349206349206349,relative_a1p80_N64_seed101_etarel_c0p50,600.0,0.1743951612898463,0.8182981052233469,24.5,True,11.0,False,True,13.0,False
relative,1.8,64,101,1.0,etarel_c1p00,0.012698412698412698,relative_a1p80_N64_seed101_etarel_c1p00,600.0,0.17439516128984628,0.8137287690360391,18.5,True,7.0,False,True,9.5,False
relative,1.8,64,102,0.05,etarel_c0p05,0.0006349206349206349,relative_a1p80_N64_seed102_etarel_c0p05,600.0,0.2696572580638017,0.7145148430332373,102.5,True,79.5,False,True,87.0,False
relative,1.8,64,102,0.1,etarel_c0p10,0.0012698412698412698,relative_a1p80_N64_seed102_etarel_c0p10,600.0,0.22202620967682396,0.6777991852030523,59.5,True,42.5,False,True,47.5,False
relative,1.8,64,102,0.2,etarel_c0p20,0.0025396825396825397,relative_a1p80_N64_seed102_etarel_c0p20,600.0,0.17439516128984628,0.8092926837612289,51.0,True,23.0,False,True,26.0,False
relative,1.8,64,102,0.5,etarel_c0p50,0.006349206349206349,relative_a1p80_N64_seed102_etarel_c0p50,600.0,0.22202620967682402,0.7705009725814944,27.0,True,10.5,False,True,13.0,False
relative,1.8,64,102,1.0,etarel_c1p00,0.012698412698412698,relative_a1p80_N64_seed102_etarel_c1p00,600.0,0.1267641129028686,0.8571712548509481,23.5,True,7.0,False,True,9.0,False
relative,1.8,64,103,0.05,etarel_c0p05,0.0006349206349206349,relative_a1p80_N64_seed103_etarel_c0p05,600.0,0.17439516128984633,0.7682835093051813,115.5,True,81.0,False,True,86.0,False
relative,1.8,64,103,0.1,etarel_c0p10,0.0012698412698412698,relative_a1p80_N64_seed103_etarel_c0p10,600.0,0.1267641129028686,0.8150837666628166,63.5,True,43.0,False,True,47.0,False
relative,1.8,64,103,0.2,etarel_c0p20,0.0025396825396825397,relative_a1p80_N64_seed103_etarel_c0p20,600.0,0.1743951612898463,0.8098441970859596,38.0,True,23.0,False,True,26.0,False
relative,1.8,64,103,0.5,etarel_c0p50,0.006349206349206349,relative_a1p80_N64_seed103_etarel_c0p50,600.0,0.15057963709635744,0.8175160034371669,20.0,True,10.0,False,True,12.0,False
relative,1.8,64,103,1.0,etarel_c1p00,0.012698412698412698,relative_a1p80_N64_seed103_etarel_c1p00,600.0,0.22202620967682402,0.7680169198108959,13.5,True,6.5,False,True,8.0,False
relative,1.8,64,104,0.05,etarel_c0p05,0.0006349206349206349,relative_a1p80_N64_seed104_etarel_c0p05,600.0,0.1267641129028686,0.8148208912520705,106.5,True,85.5,False,True,91.5,False
relative,1.8,64,104,0.1,etarel_c0p10,0.0012698412698412698,relative_a1p80_N64_seed104_etarel_c0p10,600.0,0.1743951612898463,0.8102198104786937,64.5,True,44.5,False,True,49.5,False
